city, 已檢舉,已排程稽查,陳述意見期,已勒令停工,已發函斷電,已排程拆除,已拆除,等待新事證
基隆市, 0,0,0,0,0,0,0,0
臺北市, 0,0,0,0,0,0,0,0
新北市, 4,0,2,1,1,1,0,4
宜蘭縣, 3,0,7,1,0,0,0,3
新竹市, 0,0,1,0,0,0,0,1
新竹縣, 12,1,5,3,0,3,0,0
桃園市, 12,5,16,3,1,3,8,6
苗栗縣, 7,1,1,1,0,0,0,1
臺中市, 14,16,29,7,0,15,2,12
彰化縣, 53,61,36,11,5,7,0,23
南投縣, 3,0,0,2,0,0,0,8
嘉義市, 0,0,0,0,0,0,0,1
嘉義縣, 3,0,3,4,0,2,0,4
雲林縣, 4,1,2,0,0,1,0,3
臺南市, 21,6,0,4,0,4,1,4
高雄市, 15,1,4,0,1,1,0,2
屏東縣, 8,2,2,0,0,3,0,5
臺東縣, 0,0,0,0,0,0,0,0
花蓮縣, 0,0,0,0,0,0,0,1
金門縣, 0,0,0,0,0,0,0,0
連江縣, 0,0,0,0,0,0,0,0
澎湖縣, 0,0,0,0,0,0,0,0
