city, 已檢舉,已排程稽查,陳述意見期,已勒令停工,已發函斷電,已排程拆除,已拆除,不再追蹤
基隆市, 0,0,0,0,0,0,0,0
臺北市, 0,0,0,0,0,0,0,0
新北市, 2,0,1,1,1,0,0,3
宜蘭縣, 3,0,5,0,0,0,0,1
新竹市, 0,0,1,0,0,0,0,0
新竹縣, 8,1,5,2,0,3,0,0
桃園市, 10,4,9,2,0,4,8,4
苗栗縣, 7,0,1,1,0,0,0,1
臺中市, 12,12,21,7,0,14,1,5
彰化縣, 40,41,20,10,1,5,0,13
南投縣, 5,0,0,0,0,1,0,6
嘉義市, 0,0,0,0,0,0,0,0
嘉義縣, 0,0,2,4,0,2,0,3
雲林縣, 4,1,1,0,0,1,0,0
臺南市, 15,4,0,2,0,7,1,1
高雄市, 6,1,3,1,0,2,0,1
屏東縣, 3,0,1,0,0,3,0,3
臺東縣, 0,0,0,0,0,0,0,0
花蓮縣, 0,0,0,0,0,0,0,1
金門縣, 0,0,0,0,0,0,0,0
連江縣, 0,0,0,0,0,0,0,0
澎湖縣, 0,0,0,0,0,0,0,0
