city, 已檢舉,已排程稽查,陳述意見期,已勒令停工,已發函斷電,已排程拆除,已拆除,等待新事證
基隆市, 0,0,0,0,0,0,0,0
臺北市, 0,0,0,0,0,0,0,0
新北市, 2,0,3,1,1,2,0,5
宜蘭縣, 1,0,8,1,0,1,0,4
新竹市, 0,0,1,0,0,0,0,1
新竹縣, 8,5,6,3,0,3,0,0
桃園市, 9,5,17,4,1,3,8,8
苗栗縣, 7,1,1,1,0,0,0,1
臺中市, 12,16,33,7,0,16,3,13
彰化縣, 39,77,44,12,8,8,0,27
南投縣, 3,0,0,2,0,0,0,10
嘉義市, 1,0,0,0,0,0,0,1
嘉義縣, 4,0,3,4,0,2,0,4
雲林縣, 2,1,3,0,0,1,0,4
臺南市, 22,11,3,5,0,5,1,4
高雄市, 18,2,4,0,1,1,0,2
屏東縣, 3,3,7,0,0,3,0,6
臺東縣, 0,0,0,0,0,0,0,0
花蓮縣, 0,0,0,0,0,0,0,1
金門縣, 0,0,0,0,0,0,0,0
連江縣, 0,0,0,0,0,0,0,0
澎湖縣, 0,0,0,0,0,0,0,0
