city, 已檢舉,已排程稽查,陳述意見期,已勒令停工,已發函斷電,已排程拆除,已拆除,等待新事證
基隆市, 0,0,0,0,0,0,0,0
臺北市, 0,0,0,0,0,0,0,0
新北市, 3,0,3,1,1,2,0,5
宜蘭縣, 1,0,8,1,0,2,0,5
新竹市, 1,1,1,0,0,0,0,1
新竹縣, 11,6,7,3,0,3,0,2
桃園市, 17,8,19,3,5,2,9,12
苗栗縣, 8,1,0,2,0,0,0,2
臺中市, 24,20,38,7,1,16,4,17
彰化縣, 51,95,50,13,9,7,0,30
南投縣, 12,0,0,2,0,0,0,10
嘉義市, 1,0,0,0,0,0,0,1
嘉義縣, 9,0,5,4,0,2,0,5
雲林縣, 6,1,4,0,0,1,0,4
臺南市, 41,11,5,5,0,5,1,5
高雄市, 27,5,4,0,1,1,0,3
屏東縣, 8,6,7,0,0,4,0,7
臺東縣, 0,0,0,0,0,0,0,0
花蓮縣, 0,0,0,0,0,0,0,1
金門縣, 0,0,0,0,0,0,0,0
連江縣, 0,0,0,0,0,0,0,0
澎湖縣, 0,0,0,0,0,0,0,0
