city, 已檢舉,已排程稽查,陳述意見期,已勒令停工,已發函斷電,已排程拆除,已拆除,等待新事證
基隆市, 0,0,0,0,0,0,0,0
臺北市, 0,0,0,0,0,0,0,0
新北市, 2,0,2,1,1,1,0,4
宜蘭縣, 1,0,7,1,0,0,0,3
新竹市, 0,0,1,0,0,0,0,1
新竹縣, 8,1,5,3,0,3,0,0
桃園市, 8,5,16,2,1,3,8,6
苗栗縣, 6,1,1,1,0,0,0,1
臺中市, 9,15,28,7,0,15,2,11
彰化縣, 23,61,36,11,2,7,0,23
南投縣, 3,0,0,2,0,0,0,8
嘉義市, 0,0,0,0,0,0,0,1
嘉義縣, 1,0,3,4,0,2,0,4
雲林縣, 1,1,2,0,0,1,0,3
臺南市, 15,6,0,4,0,4,1,4
高雄市, 9,1,4,0,1,1,0,2
屏東縣, 3,2,2,0,0,3,0,5
臺東縣, 0,0,0,0,0,0,0,0
花蓮縣, 0,0,0,0,0,0,0,1
金門縣, 0,0,0,0,0,0,0,0
連江縣, 0,0,0,0,0,0,0,0
澎湖縣, 0,0,0,0,0,0,0,0
