city, 已檢舉,已排程稽查,陳述意見期,已勒令停工,已發函斷電,已排程拆除,已拆除,等待新事證
基隆市, 0,0,0,0,0,0,0,0
臺北市, 0,0,0,0,0,0,0,0
新北市, 2,0,3,1,1,1,0,5
宜蘭縣, 2,0,8,1,0,0,0,3
新竹市, 0,0,1,0,0,0,0,1
新竹縣, 8,4,6,3,0,3,0,0
桃園市, 11,5,16,3,1,3,8,7
苗栗縣, 7,1,1,1,0,0,0,1
臺中市, 11,16,31,7,0,16,2,12
彰化縣, 35,67,44,11,6,7,0,25
南投縣, 3,0,0,2,0,0,0,8
嘉義市, 0,0,0,0,0,0,0,1
嘉義縣, 3,0,3,4,0,2,0,4
雲林縣, 4,1,2,0,0,1,0,3
臺南市, 17,8,2,4,0,4,1,4
高雄市, 15,1,4,0,1,1,0,2
屏東縣, 7,3,2,0,0,3,0,5
臺東縣, 0,0,0,0,0,0,0,0
花蓮縣, 0,0,0,0,0,0,0,1
金門縣, 0,0,0,0,0,0,0,0
連江縣, 0,0,0,0,0,0,0,0
澎湖縣, 0,0,0,0,0,0,0,0
