city, 已檢舉,已排程稽查,陳述意見期,已勒令停工,已發函斷電,已排程拆除,已拆除,等待新事證
基隆市, 0,0,0,0,0,0,0,0
臺北市, 0,0,0,0,0,0,0,0
新北市, 3,0,3,1,1,2,0,5
宜蘭縣, 2,0,9,1,0,2,0,4
新竹市, 1,1,1,0,0,0,0,1
新竹縣, 14,4,6,3,0,3,0,2
桃園市, 19,10,16,4,4,2,9,9
苗栗縣, 8,1,0,2,0,0,0,2
臺中市, 27,19,36,7,1,16,4,15
彰化縣, 52,94,50,12,9,7,0,27
南投縣, 12,0,0,2,0,0,0,10
嘉義市, 1,0,0,0,0,0,0,1
嘉義縣, 8,0,5,4,0,2,0,5
雲林縣, 5,1,4,0,0,1,0,4
臺南市, 37,11,5,5,0,5,1,5
高雄市, 28,4,4,0,1,1,0,2
屏東縣, 9,6,7,0,0,4,0,7
臺東縣, 0,0,0,0,0,0,0,0
花蓮縣, 0,0,0,0,0,0,0,1
金門縣, 0,0,0,0,0,0,0,0
連江縣, 0,0,0,0,0,0,0,0
澎湖縣, 0,0,0,0,0,0,0,0
